Time [s],Temperature [°C]
4,20.449
14,20.450
24,20.451
34,20.452
44,20.453
55,20.454
65,20.455
75,20.455
85,20.456
95,20.456
105,20.457
115,20.457
125,20.458
135,20.458
145,20.459
155,20.459
165,20.459
175,20.460
185,20.460
195,20.460
205,20.460
215,20.461
225,20.461
235,20.461
245,20.461
255,20.462
265,20.462
275,20.462
285,20.462
295,20.462
305,20.463
315,20.463
326,20.463
336,20.463
346,20.463
356,20.464
366,20.464
376,20.467
386,20.543
396,20.884
406,21.127
416,21.338
426,21.693
436,21.889
446,22.039
456,22.191
466,22.321
476,22.412
486,22.534
496,22.613
506,22.667
516,22.740
526,22.780
536,22.815
546,22.850
556,22.895
566,22.911
576,22.935
586,22.958
597,22.974
607,22.992
617,23.006
627,23.016
637,23.025
647,23.036
657,23.042
667,23.048
677,23.052
687,23.058
697,23.062
707,23.065
717,23.068
727,23.072
737,23.074
747,23.077
757,23.078
767,23.079
777,23.080
787,23.082
797,23.082
807,23.083
817,23.083
827,23.084
837,23.084
847,23.085
857,23.084
868,23.084
878,23.084
888,23.084
898,23.083
908,23.083
918,23.083
928,23.083
938,23.082
948,23.081
958,23.081
968,23.081
978,23.080
988,23.079
998,23.079
1008,23.078
1018,23.077
1028,23.077
1038,23.076
1048,23.075
1058,23.075
1068,23.074
1078,23.073
