Time [s],Temperature [°C]
0,20.922
10,20.928
20,20.931
30,20.936
40,20.937
50,20.939
60,20.941
70,20.944
80,20.945
90,20.947
100,20.948
110,20.949
120,20.950
130,20.951
140,20.952
150,20.953
160,20.953
170,20.955
180,20.955
190,20.956
200,20.956
210,20.957
220,20.957
230,20.958
240,20.958
250,20.959
260,20.959
270,20.959
280,20.960
290,20.960
300,20.960
310,20.961
320,20.961
330,20.961
340,20.962
350,20.962
360,20.962
370,20.963
380,20.988
390,21.143
400,21.216
410,21.322
420,21.397
430,21.482
440,21.545
450,21.611
460,21.641
470,21.700
480,21.730
490,21.765
500,21.792
510,21.813
520,21.834
530,21.855
540,21.869
550,21.881
560,21.897
570,21.911
580,21.916
590,21.930
600,21.934
610,21.945
620,21.949
630,21.956
640,21.958
650,21.962
660,21.969
670,21.971
680,21.973
690,21.977
700,21.979
710,21.981
720,21.983
730,21.984
740,21.987
750,21.987
760,21.989
770,21.991
780,21.991
790,21.992
800,21.993
810,21.993
820,21.994
830,21.995
840,21.995
850,21.996
860,21.996
870,21.996
880,21.996
890,21.997
900,21.997
910,21.997
920,21.998
930,21.998
940,21.998
950,21.998
960,21.998
970,21.998
980,21.998
990,21.998
1000,21.998
1010,21.998
1020,21.998
1030,21.997
1040,21.997
1050,21.997
1060,21.997
1070,21.997
1080,21.997
1090,21.997
