Time [s],Temperature [°C]
4,21.166
18,21.167
24,21.169
36,21.170
46,21.171
58,21.172
65,21.173
75,21.174
86,21.175
96,21.176
105,21.176
116,21.177
125,21.178
135,21.178
146,21.179
156,21.180
165,21.180
175,21.181
188,21.181
195,21.182
205,21.182
215,21.183
225,21.183
235,21.184
245,21.184
255,21.185
265,21.185
275,21.186
285,21.186
295,21.186
305,21.187
315,21.187
325,21.188
335,21.188
345,21.188
355,21.189
365,21.189
375,21.190
385,21.237
395,21.273
405,21.376
415,21.525
425,21.596
435,21.667
445,21.766
455,21.841
465,21.890
475,21.939
485,21.976
495,21.998
505,22.033
515,22.063
525,22.090
535,22.105
545,22.128
555,22.143
565,22.151
575,22.164
585,22.176
595,22.183
605,22.193
615,22.198
625,22.204
635,22.210
645,22.217
655,22.221
665,22.225
675,22.228
685,22.231
695,22.235
705,22.238
715,22.240
725,22.242
735,22.243
745,22.245
755,22.247
765,22.247
775,22.249
785,22.250
795,22.251
805,22.252
815,22.252
825,22.253
835,22.254
845,22.255
855,22.255
865,22.255
875,22.256
885,22.256
895,22.256
905,22.257
