Time [s],Temperature [°C]
4,20.858
14,20.839
24,20.871
34,20.888
44,20.900
54,20.906
64,20.914
74,20.923
84,20.926
94,20.929
104,20.933
114,20.936
124,20.940
134,20.942
144,20.944
154,20.945
164,20.947
174,20.950
184,20.951
194,20.952
204,20.953
214,20.955
224,20.956
234,20.957
244,20.958
254,20.959
264,20.960
274,20.960
284,20.961
294,20.962
304,20.962
314,20.963
324,20.964
334,20.964
344,20.965
354,20.966
364,20.966
374,20.970
384,20.996
394,21.111
404,21.227
414,21.307
424,21.407
434,21.489
444,21.577
454,21.618
464,21.676
474,21.722
484,21.793
494,21.819
504,21.853
514,21.880
524,21.907
534,21.921
544,21.941
554,21.953
564,21.968
574,21.980
584,21.988
594,22.000
604,22.010
614,22.019
624,22.026
634,22.032
644,22.037
654,22.041
664,22.044
674,22.049
684,22.052
694,22.056
704,22.057
714,22.060
724,22.062
734,22.064
744,22.066
754,22.067
764,22.068
774,22.069
784,22.070
794,22.071
804,22.073
814,22.073
824,22.074
834,22.074
844,22.075
854,22.076
864,22.076
874,22.076
884,22.077
894,22.077
904,22.077
914,22.078
924,22.078
934,22.078
944,22.078
954,22.078
964,22.078
974,22.079
984,22.079
994,22.079
1004,22.079
1014,22.079
1024,22.079
1034,22.079
