3,21.280
13,21.275
23,21.287
33,21.295
43,21.304
53,21.298
63,21.304
73,21.305
83,21.309
93,21.310
103,21.312
113,21.313
123,21.314
133,21.315
143,21.316
153,21.317
163,21.318
173,21.318
183,21.319
193,21.319
203,21.320
213,21.320
223,21.321
233,21.321
243,21.322
253,21.322
263,21.322
273,21.323
283,21.323
293,21.323
303,21.324
313,21.324
323,21.324
333,21.324
343,21.325
353,21.325
363,21.325
373,21.326
383,21.367
393,21.455
403,21.530
413,21.649
423,21.755
433,21.822
443,21.923
453,21.963
463,21.998
473,22.062
483,22.093
493,22.138
503,22.157
513,22.181
523,22.200
533,22.224
543,22.233
553,22.251
563,22.268
573,22.280
583,22.286
593,22.298
603,22.304
613,22.308
623,22.316
633,22.320
643,22.325
653,22.328
663,22.331
673,22.334
683,22.336
693,22.340
703,22.341
713,22.344
723,22.345
733,22.345
743,22.347
753,22.347
763,22.349
773,22.349
783,22.350
793,22.351
803,22.351
813,22.352
823,22.352
833,22.353
843,22.353
853,22.353
863,22.353
873,22.353
883,22.353
893,22.353
903,22.354
913,22.354
923,22.354
933,22.354
943,22.353
953,22.353
963,22.353
973,22.353
983,22.353
993,22.353
1003,22.353
1013,22.353
